total income,,total expense,,total saving,,total budget,,actual saving,,saving rate
734087,,1227194,,-493107,,6187000,,1961281,,0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Sum of Amount,Column Labels,,,,,,,,,
Row Labels,Expense,Income,Grand Total,,,,,,,
Jan,112419,79014,191433,,,,,,,
Feb,97754,70677,168431,,,,,,,
Mar,100698,87635,188333,,,,,,,
Apr,92946,45844,138790,,,,,,,
May,105815,48226,154041,,,,,,,
Jun,111001,51090,162091,,,,,,,
Jul,116179,57628,173807,,,,,,,
Aug,110513,51627,162140,,,,,,,
Sep,102735,65727,168462,,,,,,,
Oct,88660,63294,151954,,,,,,,
Nov,107010,64948,171958,,,,,,,
Dec,81464,48377,129841,,,,,,,
Grand Total,1227194,734087,1961281,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Type,(All),,,,,,,,,
,,,,,,,,,,
Row Labels,Sum of Amount,,,,,,,,,
Entertainment,148165,,,,,,,,,
Food & Drink,159493,,,,,,,,,
Health & Fitness,145194,,,,,,,,,
Investment,363252,,,,,,,,,
Other,370835,,,,,,,,,
Rent,162075,,,,,,,,,
Salary,149054,,,,,,,,,
Shopping,146881,,,,,,,,,
Travel,169498,,,,,,,,,
Utilities,146834,,,,,,,,,
Grand Total,1961281,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Row Labels,Sum of budget amount,Sum of actual amount,,,,,,,,
Entertainment,140000,148165,,,,,,,,
Food & Drink,440000,159493,,,,,,,,
Health & Fitness,168000,145194,,,,,,,,
Investment,448000,363252,,,,,,,,
Other,102000,370835,,,,,,,,
Rent,810000,162075,,,,,,,,
Salary,3420000,149054,,,,,,,,
Shopping,275000,146881,,,,,,,,
Travel,216000,169498,,,,,,,,
Utilities,168000,146834,,,,,,,,
Grand Total,6187000,1961281,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Row Labels,Sum of Forcast saving,Sum of actual saving,,,,,,,,
Jan,-239253.59,-308095,,,,,,,,
Feb,-165240.06,-221751,,,,,,,,
Mar,-34670.2,-120518,,,,,,,,
Apr,-455613.42,-420026,,,,,,,,
May,-433063.25,-526493,,,,,,,,
Jun,-451553.37,-519044,,,,,,,,
Jul,-447993.7,-546416,,,,,,,,
Aug,-383466.78,-546421,,,,,,,,
Sep,-355595.35,-349315,,,,,,,,
Oct,-135980.15,-237082,,,,,,,,
Nov,-426347.9,-420618,,,,,,,,
Dec,-266965.95,-286223,,,,,,,,
Grand Total,-3795743.72,-4502003,,,,,,,,
