Month,year,Category,budget amount,actual amount,variance,Status
Jan,2020,Food & Drink,8000,5459,2541,Under Budget
Jan,2020,Utilities,3000,1476,1524,Under Budget
Jan,2020,Rent,15000,3663,11337,Under Budget
Jan,2020,Investment,8000,2291,5709,Under Budget
Jan,2020,Shopping,5000,1179,3821,Under Budget
Jan,2020,Other,2000,3287,-1287,Over Budget
Jan,2020,Entertainment,2500,1915,585,Under Budget
Jan,2020,Health & Fitness,3000,2370,630,Under Budget
Jan,2020,Salary,60000,1077,58923,Under Budget
Feb,2020,Health & Fitness,3000,767,2233,Under Budget
Feb,2020,Travel,4000,7272,-3272,Over Budget
Feb,2020,Rent,15000,1222,13778,Under Budget
Feb,2020,Investment,8000,7194,806,Under Budget
Feb,2020,Entertainment,2500,3200,-700,Over Budget
Feb,2020,Food & Drink,8000,1830,6170,Under Budget
Feb,2020,Other,2000,12876,-10876,Over Budget
Feb,2020,Salary,60000,294,59706,Under Budget
Feb,2020,Shopping,5000,1500,3500,Under Budget
Feb,2020,Utilities,3000,1024,1976,Under Budget
Mar,2020,Rent,15000,6241,8759,Under Budget
Mar,2020,Entertainment,2500,1887,613,Under Budget
Mar,2020,Food & Drink,8000,1353,6647,Under Budget
Mar,2020,Travel,4000,487,3513,Under Budget
Mar,2020,Utilities,3000,803,2197,Under Budget
Mar,2020,Shopping,5000,1929,3071,Under Budget
Mar,2020,Health & Fitness,3000,882,2118,Under Budget
Mar,2020,Investment,8000,2385,5615,Under Budget
Mar,2020,Other,2000,1080,920,Under Budget
Apr,2020,Travel,4000,3195,805,Under Budget
Apr,2020,Utilities,3000,3063,-63,Over Budget
Apr,2020,Salary,60000,2223,57777,Under Budget
Apr,2020,Shopping,5000,389,4611,Under Budget
Apr,2020,Other,2000,3402,-1402,Over Budget
Apr,2020,Investment,8000,3968,4032,Under Budget
Apr,2020,Health & Fitness,3000,1603,1397,Under Budget
Apr,2020,Entertainment,2500,3822,-1322,Over Budget
Apr,2020,Food & Drink,8000,1938,6062,Under Budget
May,2020,Travel,4000,4288,-288,Over Budget
May,2020,Salary,60000,318,59682,Under Budget
May,2020,Food & Drink,8000,2502,5498,Under Budget
May,2020,Health & Fitness,3000,2894,106,Under Budget
May,2020,Utilities,3000,1704,1296,Under Budget
May,2020,Investment,8000,6008,1992,Under Budget
May,2020,Shopping,5000,1318,3682,Under Budget
May,2020,Rent,15000,3823,11177,Under Budget
Jun,2020,Food & Drink,8000,426,7574,Under Budget
Jun,2020,Travel,4000,991,3009,Under Budget
Jun,2020,Utilities,3000,5003,-2003,Over Budget
Jun,2020,Salary,60000,1108,58892,Under Budget
Jun,2020,Other,2000,12346,-10346,Over Budget
Jun,2020,Entertainment,2500,4092,-1592,Over Budget
Jun,2020,Health & Fitness,3000,4901,-1901,Over Budget
Jun,2020,Shopping,5000,2611,2389,Under Budget
Jun,2020,Rent,15000,1548,13452,Under Budget
Jul,2020,Entertainment,2500,4854,-2354,Over Budget
Jul,2020,Other,2000,6092,-4092,Over Budget
Jul,2020,Rent,15000,3920,11080,Under Budget
Jul,2020,Travel,4000,5355,-1355,Over Budget
Jul,2020,Health & Fitness,3000,3032,-32,Over Budget
