Month,year,actual income,actual expense,actual saving,Forcast income,Forcast expense,Forcast saving,Difference,Status
Jan,2020,5578,17138,-11560,0,0,0,11560,Above Forecast
Jan,2020,5578,17138,-11560,0,0,0,11560,Above Forecast
Jan,2020,5578,17138,-11560,0,0,0,11560,Above Forecast
Jan,2020,5578,17138,-11560,0,0,0,11560,Above Forecast
Jan,2020,5578,17138,-11560,0,0,0,11560,Above Forecast
Jan,2020,5578,17138,-11560,0,0,0,11560,Above Forecast
Jan,2020,5578,17138,-11560,0,0,0,11560,Above Forecast
Jan,2020,5578,17138,-11560,0,0,0,11560,Above Forecast
Jan,2020,5578,17138,-11560,0,0,0,11560,Above Forecast
Feb,2020,20070,17108,2962,0,0,0,-2962,Below Forecast
Feb,2020,20070,17108,2962,0,0,0,-2962,Below Forecast
Feb,2020,20070,17108,2962,0,0,0,-2962,Below Forecast
Feb,2020,20070,17108,2962,0,0,0,-2962,Below Forecast
Feb,2020,20070,17108,2962,0,0,0,-2962,Below Forecast
Feb,2020,20070,17108,2962,0,0,0,-2962,Below Forecast
Feb,2020,20070,17108,2962,0,0,0,-2962,Below Forecast
Feb,2020,20070,17108,2962,0,0,0,-2962,Below Forecast
Feb,2020,20070,17108,2962,0,0,0,-2962,Below Forecast
Feb,2020,20070,17108,2962,0,0,0,-2962,Below Forecast
Mar,2020,3465,13582,-10117,0,0,0,10117,Above Forecast
Mar,2020,3465,13582,-10117,0,0,0,10117,Above Forecast
Mar,2020,3465,13582,-10117,0,0,0,10117,Above Forecast
Mar,2020,3465,13582,-10117,0,0,0,10117,Above Forecast
Mar,2020,3465,13582,-10117,0,0,0,10117,Above Forecast
Mar,2020,3465,13582,-10117,0,0,0,10117,Above Forecast
Mar,2020,3465,13582,-10117,0,0,0,10117,Above Forecast
Mar,2020,3465,13582,-10117,0,0,0,10117,Above Forecast
Mar,2020,3465,13582,-10117,0,0,0,10117,Above Forecast
Apr,2020,7370,16233,-8863,0,0,0,8863,Above Forecast
Apr,2020,7370,16233,-8863,0,0,0,8863,Above Forecast
