Date,Month,year,Category,Amount,Transaction Description,Payment mode,Type
02-01-2020,Jan,2020,Food & Drink,1486,Score each.,cash,Expense
02-01-2020,Jan,2020,Utilities,1476,Quality throughout.,cash,Expense
04-01-2020,Jan,2020,Rent,1185,Instead ahead despite measure ago.,cash,Expense
05-01-2020,Jan,2020,Investment,2291,Information last everything thank serve.,cash,Income
13-01-2020,Jan,2020,Food & Drink,1127,Future choice whatever from.,cash,Expense
14-01-2020,Jan,2020,Shopping,449,Benefit suggest page southern.,cash,Expense
18-01-2020,Jan,2020,Food & Drink,1520,By two bad fall pick.,cash,Expense
19-01-2020,Jan,2020,Other,3287,Court attorney product significant world.,cash,Income
21-01-2020,Jan,2020,Entertainment,1915,Herself law.,cash,Expense
25-01-2020,Jan,2020,Rent,766,Have decide environment.,UPI,Expense
25-01-2020,Jan,2020,Health & Fitness,1211,Play move each left establish.,UPI,Expense
26-01-2020,Jan,2020,Salary,1077,Range successful simply.,UPI,Expense
29-01-2020,Jan,2020,Shopping,167,Source husband.,UPI,Expense
30-01-2020,Jan,2020,Health & Fitness,1159,Tree note responsibility.,UPI,Expense
31-01-2020,Jan,2020,Food & Drink,1326,How trip learn enter.,UPI,Expense
31-01-2020,Jan,2020,Rent,1712,Much section investment on gun.,UPI,Expense
31-01-2020,Jan,2020,Shopping,563,Management sense technology check civil.,UPI,Expense
02-02-2020,Feb,2020,Health & Fitness,334,As high you more wife.,UPI,Expense
04-02-2020,Feb,2020,Travel,1407,Race mr.,UPI,Expense
05-02-2020,Feb,2020,Rent,1222,Born itself law west.,UPI,Expense
05-02-2020,Feb,2020,Investment,1838,Seven medical blood personal.,UPI,Income
07-02-2020,Feb,2020,Travel,1979,Current hear claim well two.,UPI,Expense
07-02-2020,Feb,2020,Entertainment,1372,Food affect upon these story.,UPI,Expense
08-02-2020,Feb,2020,Food & Drink,466,Around there water.,UPI,Expense
08-02-2020,Feb,2020,Other,3786,Staff within mouth call.,UPI,Income
09-02-2020,Feb,2020,Entertainment,1827,Close month parent who up.,UPI,Expense
11-02-2020,Feb,2020,Health & Fitness,433,Human public health.,UPI,Expense
13-02-2020,Feb,2020,Salary,294,Building different full open.,UPI,Expense
15-02-2020,Feb,2020,Other,4009,Detail audience piece director town.,UPI,Income
16-02-2020,Feb,2020,Shopping,730,Method everything.,UPI,Expense
16-02-2020,Feb,2020,Utilities,1024,Much rich think.,UPI,Expense
18-02-2020,Feb,2020,Investment,1398,Drug list imagine behind.,UPI,Income
19-02-2020,Feb,2020,Investment,3958,Interest level rock pull.,card,Income
20-02-2020,Feb,2020,Shopping,769,I fund.,card,Expense
26-02-2020,Feb,2020,Travel,1942,Court movie cell.,card,Expense
27-02-2020,Feb,2020,Food & Drink,1364,Leg themselves away.,card,Expense
28-02-2020,Feb,2020,Other,3286,Anything yourself.,card,Income
28-02-2020,Feb,2020,Other,1795,Unit support.,card,Income
29-02-2020,Feb,2020,Travel,1944,Magazine degree husband around.,card,Expense
03-03-2020,Mar,2020,Rent,1742,World enter.,card,Expense
04-03-2020,Mar,2020,Entertainment,314,Institution whatever yet.,card,Expense
04-03-2020,Mar,2020,Food & Drink,1202,Choice father why often.,card,Expense
09-03-2020,Mar,2020,Rent,1859,Security arm.,card,Expense
09-03-2020,Mar,2020,Travel,487,Me system church whether.,card,Expense
11-03-2020,Mar,2020,Rent,180,Attention attack technology.,card,Expense
11-03-2020,Mar,2020,Rent,1956,Walk now often.,card,Expense
12-03-2020,Mar,2020,Utilities,266,Bank price north first end.,card,Expense
12-03-2020,Mar,2020,Utilities,537,Enter capital population.,card,Expense
14-03-2020,Mar,2020,Shopping,1929,Upon very act perform.,card,Expense
15-03-2020,Mar,2020,Entertainment,1429,Available defense.,card,Expense
18-03-2020,Mar,2020,Health & Fitness,882,Value thing these.,card,Expense
21-03-2020,Mar,2020,Rent,503,Citizen street region.,card,Expense
23-03-2020,Mar,2020,Investment,2385,Property never.,card,Income
23-03-2020,Mar,2020,Food & Drink,151,Enough threat score.,card,Expense
24-03-2020,Mar,2020,Entertainment,144,Example decision garden.,net banking,Expense
28-03-2020,Mar,2020,Other,1080,Major town suffer begin.,net banking,Income
01-04-2020,Apr,2020,Travel,1341,Analysis four capital.,net banking,Expense
05-04-2020,Apr,2020,Utilities,1449,Scientist necessary into.,net banking,Expense
06-04-2020,Apr,2020,Salary,494,Away third.,net banking,Expense
06-04-2020,Apr,2020,Shopping,389,Along hard need involve among.,net banking,Expense
10-04-2020,Apr,2020,Other,3402,Together decide.,net banking,Income
17-04-2020,Apr,2020,Salary,1729,Government nice.,net banking,Expense
17-04-2020,Apr,2020,Investment,996,See understand door class son.,net banking,Income
18-04-2020,Apr,2020,Health & Fitness,1603,Agent say forward us.,net banking,Expense
22-04-2020,Apr,2020,Investment,2058,City red him.,net banking,Income
23-04-2020,Apr,2020,Utilities,850,Develop staff least figure.,net banking,Expense
25-04-2020,Apr,2020,Entertainment,1750,Age cover foreign.,net banking,Expense
26-04-2020,Apr,2020,Investment,914,Go meeting quickly.,net banking,Income
26-04-2020,Apr,2020,Food & Drink,1938,Voice boy wife condition.,net banking,Expense
27-04-2020,Apr,2020,Entertainment,341,Board its.,net banking,Expense
27-04-2020,Apr,2020,Entertainment,1731,Paper memory history office.,net banking,Expense
29-04-2020,Apr,2020,Utilities,764,Remember ability.,net banking,Expense
30-04-2020,Apr,2020,Travel,1854,Hair attorney professional.,net banking,Expense
01-05-2020,May,2020,Travel,852,Finish summer rest feel finally.,net banking,Expense
03-05-2020,May,2020,Salary,318,I fast camera inside.,net banking,Expense
03-05-2020,May,2020,Food & Drink,1163,Past feeling nature.,net banking,Expense
05-05-2020,May,2020,Health & Fitness,124,Expert involve oil.,net banking,Expense
06-05-2020,May,2020,Utilities,123,Kid put memory soldier.,net banking,Expense
06-05-2020,May,2020,Utilities,146,Exist professional.,net banking,Expense
07-05-2020,May,2020,Investment,3807,Stand seem.,net banking,Income
11-05-2020,May,2020,Investment,825,Southern challenge animal.,net banking,Income
12-05-2020,May,2020,Shopping,1318,Sure authority increase picture create.,net banking,Expense
13-05-2020,May,2020,Health & Fitness,1870,Hundred challenge reach throughout.,net banking,Expense
14-05-2020,May,2020,Health & Fitness,485,Despite sound receive let.,UPI,Expense
15-05-2020,May,2020,Travel,920,True building card.,UPI,Expense
16-05-2020,May,2020,Rent,29,Write other wear through partner.,UPI,Expense
17-05-2020,May,2020,Rent,156,Store natural today season.,UPI,Expense
19-05-2020,May,2020,Travel,274,Else easy point she.,UPI,Expense
20-05-2020,May,2020,Rent,1760,Phone ever back experience.,UPI,Expense
21-05-2020,May,2020,Utilities,882,Floor music catch discuss.,UPI,Expense
25-05-2020,May,2020,Travel,1227,Ask imagine my.,UPI,Expense
27-05-2020,May,2020,Food & Drink,1339,Deal information.,UPI,Expense
28-05-2020,May,2020,Rent,1878,Task she.,UPI,Expense
29-05-2020,May,2020,Investment,1376,Accept goal send table.,UPI,Income
30-05-2020,May,2020,Utilities,552,Section national owner determine detail.,UPI,Expense
31-05-2020,May,2020,Health & Fitness,415,Ahead from quickly identify.,UPI,Expense
31-05-2020,May,2020,Travel,1016,Try wonder move trade.,UPI,Expense
01-06-2020,Jun,2020,Food & Drink,194,Base investment.,UPI,Expense
02-06-2020,Jun,2020,Travel,98,Anyone here deep.,UPI,Expense
05-06-2020,Jun,2020,Utilities,1278,Seven here sell story.,UPI,Expense
